pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
AVAX/LINK,0.4627040010702044,1.284825466181253,-0.0944013654766185,0.023069102734109597,0.019349463825731772,32,0.17728594908242593
AVAX/LTC,0.6728798916400202,1.6076750187593398,0.6381531651265027,0.7216654836751176,0.9215648903229372,32,0.8187746725727854
AVAX/MANA,0.9008128972401368,0.8623833945936642,-0.4169513966662772,1.505399269775356,1.2294370603381788,34,1.6694028846146285
AVAX/MKR,0.9437168190081732,1.3553401904438294,0.42090790239536524,-0.5766006560907105,-0.8758237930650894,25,-0.5093508362171614
AVAX/NEAR,0.36233221141784155,0.7899694767070208,0.20606201818501835,0.11060969222828063,0.10421737903568062,33,0.2519526703007645
AVAX/OP,0.22855785044584892,0.6466918207897477,-0.060271616965755254,-0.08208754701402576,-0.05743809317997228,26,0.06905806709188318
AVAX/SAND,0.7788723309932476,0.4583932589286311,-0.47780879370806645,0.39847040693819336,0.3585256198793823,22,0.4965630715452871
AVAX/SHIB,0.23243899742365182,1.4379303968337742,0.8739623787173851,0.8245430694943893,0.8052491504738961,36,0.9679843094187239
AVAX/SOL,0.5540771418837238,0.8707426245473083,0.01559783833175898,0.14306820510813303,0.11043648392471941,30,0.29919736489711096
AVAX/SUI,0.09278474220921251,0.2615279724607945,-0.3212366939413784,0.7763489296278961,0.3688051075089294,17,0.9163809749966829
AVAX/UNI,0.07337390531867007,1.7481153442781616,0.5481192835598308,0.2888141084960932,0.5714343242731789,30,0.34873229511062886
AVAX/XLM,0.46676878287822454,1.765171792648005,-0.3906579201729391,-0.5175500913903552,-1.3251238048791496,33,-0.46539140257111433
AVAX/XRP,0.6122999670678955,0.46151930542323477,-1.143186685871562,-0.26002727709350754,-0.15023833311177093,18,-0.13130946168245503
BCH/BNB,0.5319576158275153,0.3377548636390958,-0.3339863228007274,0.12959054631063874,0.18534914436977598,35,0.22807439631526613
BCH/BTC,0.16837039986187863,1.7237511187407895,-0.04127882655720148,-0.8914564733628882,-1.3353536681992941,32,-0.8011641446163201
BCH/COMP,0.08079522285170199,0.6946270409942177,0.12364119645904048,0.7593436431522311,1.1388656414785094,42,0.8688835735110394
BCH/CRV,0.7064880249732579,0.49659322112153226,-0.6408813725894656,0.03191009071039621,0.03630385512379736,34,0.15273795547105898
BCH/DOGE,0.12748379783222757,0.5202146549300938,-0.3781178585524284,0.3540231639771938,0.4862682774141977,39,0.46692286471996863
