sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
NEAR,1,2025-08-22 14:00:00+00:00,5.0,2.0,541.9103313840168,249.51267056530168,428.84990253411195,249.51267056530168,-354.77582846003776
NEAR,1,2025-09-23 06:00:00+00:00,5.0,2.0,-224.02597402597425,-457.7922077922081,-311.6883116883118,-707.7922077922073,-1243.5064935064931
NEAR,1,2025-12-26 02:00:00+00:00,5.0,2.0,-32.61578604044302,-143.50945857795173,26.09262883235486,384.86627527723584,469.6673189823874
NEAR,1,2026-04-07 21:00:00+00:00,5.0,2.0,-30.581039755351867,382.2629969418956,191.13149847094667,474.0061162079523,389.9082568807333
ONDO,-1,2025-08-14 12:00:00+00:00,5.0,2.0,53.72599741319317,-0.0,63.675256193413965,198.9851756044192,-157.19828872748698
ONDO,-1,2025-10-10 15:00:00+00:00,5.0,2.0,2111.8963486454654,1193.1684334511183,1197.8798586572436,554.7703180212015,477.0318021201414
ONDO,-1,2025-11-03 15:00:00+00:00,5.0,2.0,31.173092698933978,-241.18129614437933,342.90401968826933,-113.20754716980908,539.7867104183762
ONDO,-1,2025-12-01 00:00:00+00:00,5.0,2.0,70.15306122448939,225.3401360544216,176.44557823129236,-693.0272108843538,-882.227891156464
ONDO,-1,2026-01-18 23:00:00+00:00,5.0,2.0,465.8385093167705,477.13156408808686,194.8051948051954,525.1270468661772,299.26595143986435
ONDO,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-169.76556184316928,-295.06871463217396,-0.0,-343.5731608730808,-1123.6863379143092
ONDO,1,2025-07-17 12:00:00+00:00,5.0,2.0,-275.43186180422174,278.31094049904027,112.2840690978899,-271.5930902111319,246.64107485604657
ONDO,1,2025-08-22 14:00:00+00:00,5.0,2.0,408.07956526196955,69.72213677842731,209.16641033528194,-21.53183635804412,-514.7134215113291
ONDO,1,2025-09-10 01:00:00+00:00,5.0,2.0,-122.33009708737863,-84.46601941747511,-199.99999999999906,902.912621359222,608.7378640776686
ONDO,1,2025-12-02 15:00:00+00:00,5.0,2.0,-105.63380281690016,13.693270735524177,-146.7136150234727,-301.251956181533,-952.660406885758
